id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
67,EO-7816,1362,8,,,2020-03-06T10:34:43.141,,,2020-03-06T10:34:43.141,2020-03-06T10:34:43.141
68,EO-7809,1389,8,,,2020-03-06T10:37:02.538,,,2020-03-06T10:37:02.538,2020-03-06T10:37:02.538
69,EO-7801,1390,8,,,2020-03-06T10:42:19.633,,,2020-03-06T10:42:19.633,2020-03-06T10:42:19.633
70,RMA-12744,1361,8,,,2020-03-06T10:43:34.645,,RETURN,2020-03-06T10:43:34.645,2020-03-06T10:43:34.645
71,EO-7804,1391,8,,,2020-03-06T10:56:34.922,,,2020-03-06T10:56:34.922,2020-03-06T10:56:34.922
72,eo-7827,61,10,,,2020-03-06T15:00:24.011,,,2020-03-06T15:00:24.011,2020-03-06T15:00:24.011
73,EO-7811,471,11,,,2020-03-06T15:00:44.921,,,2020-03-06T15:00:44.921,2020-03-06T15:00:44.921
74,EO-7805,1363,11,,,2020-03-06T15:01:33.488,,,2020-03-06T15:01:33.488,2020-03-06T15:01:33.488
75,EO-7825,680,11,,,2020-03-06T15:03:02.732,,,2020-03-06T15:03:02.732,2020-03-06T15:03:02.732
76,RMA 001376,92,11,,,2020-03-06T15:04:09.881,,Replacement,2020-03-06T15:04:09.881,2020-03-06T15:04:09.881
77,EO-7798,1362,11,,,2020-03-06T15:05:01.015,,,2020-03-06T15:05:01.015,2020-03-06T15:05:01.015
78,EO-7826,1392,8,,,2020-03-06T16:48:29.547,,,2020-03-06T16:48:29.547,2020-03-06T16:48:29.547
79,EO-7823,1393,8,,,2020-03-10T12:43:23.161,,3 Defective,2020-03-10T12:43:23.161,2020-03-10T12:43:23.161
80,EO-7771,1394,10,,,2020-03-11T13:31:58.726,,,2020-03-11T13:31:58.726,2020-03-11T13:31:58.726
81,EO-7837,1395,10,,,2020-03-11T14:22:25.360,,,2020-03-11T14:22:25.360,2020-03-11T14:22:25.360
82,EO-7834,1396,8,,,2020-03-11T14:28:53.424,,,2020-03-11T14:28:53.424,2020-03-11T14:28:53.424
83,EO-7836,1397,8,,,2020-03-12T11:20:55.767,,,2020-03-12T11:20:55.767,2020-03-12T11:20:55.767
84,EO-7842,452,8,,,2020-03-12T11:21:41.573,,,2020-03-12T11:21:41.573,2020-03-12T11:21:41.573
85,EO-7845,1398,8,,,2020-03-12T11:53:06.711,,,2020-03-12T11:53:06.711,2020-03-12T11:53:06.711
86,EO-7831,1362,8,,,2020-03-13T10:32:08.232,,,2020-03-13T10:32:08.232,2020-03-13T10:32:08.232
87,2xdl380,1399,8,,,2020-03-13T10:32:47.678,,,2020-03-13T10:32:47.678,2020-03-13T10:32:47.678
88,EO-11Bl460cG9,1400,8,,,2020-03-13T10:39:13.585,,,2020-03-13T10:39:13.585,2020-03-13T10:39:13.585
89,EO-7832,1387,8,,,2020-03-13T11:57:26.753,,,2020-03-13T11:57:26.753,2020-03-13T11:57:26.753
91,EO-7824,1401,8,,,2020-03-13T12:00:20.548,,,2020-03-13T12:00:20.548,2020-03-13T12:00:20.548
92,EO-7849,61,10,,,2020-03-13T14:56:54.353,,,2020-03-13T14:56:54.353,2020-03-13T14:56:54.353
93,RMA-12819,1402,8,,,2020-03-13T15:59:07.933,,RETURN,2020-03-13T15:59:07.933,2020-03-13T15:59:07.933
94,RMA-12748,1362,8,,,2020-03-13T16:00:52.618,,Reutrn,2020-03-13T16:00:52.618,2020-03-13T16:00:52.618
95,EO-7770,1388,8,,,2020-03-13T16:02:13.424,,,2020-03-13T16:02:13.424,2020-03-13T16:02:13.424
96,EO-7843,1383,10,,,2020-03-16T16:09:17.765,,,2020-03-16T16:09:17.765,2020-03-16T16:09:17.765
97,EO-7828,1403,10,,,2020-03-16T16:57:30.640,,,2020-03-16T16:57:30.640,2020-03-16T16:57:30.640
